id,name,muscle_group,category,created_at
1,Barbell bench press,Chest,strength,2025-07-06 07:40:46+10
7,Cable flies,Chest,strength,2025-07-06 07:40:46+10
8,Dips,Triceps,bodyweight,2025-07-06 07:40:46+10
12,Overhead press,Anterior deltoid,strength,2025-07-06 07:40:46+10
15,Rear delt cable fly,Posterior deltoid,strength,2025-07-06 07:40:46+10
19,Low bar squat,Quad,strength,2025-07-06 07:40:46+10
20,High bar squat,Quad,strength,2025-07-06 07:40:46+10
21,Leg press,Quad,strength,2025-07-06 07:40:46+10
22,Hack squat,Quad,strength,2025-07-06 07:40:46+10
23,Leg press calf raise,Calf,strength,2025-07-06 07:40:46+10
26,Lunges,Glutes,strength,2025-07-06 07:40:46+10
28,Deadlift,Back,strength,2025-07-06 07:40:46+10
29,Barbell row,Back,strength,2025-07-06 07:40:46+10
30,Seated cable row,Back,strength,2025-07-06 07:40:46+10
31,Machine pull down,Back,strength,2025-07-06 07:40:46+10
32,Cable lat pulldown,Back,strength,2025-07-06 07:40:46+10
34,Hex bar shrugs,Trapezius,strength,2025-07-06 07:40:46+10
35,Ab cable crunch,Abs,strength,2025-07-06 07:40:46+10
36,Hanging leg raise,Abs,bodyweight,2025-07-06 07:40:46+10
38,Incline barbell bench press,Chest,strength,2025-07-07 22:58:42+10
39,Cambered barbell press,Chest,strength,2025-07-07 22:58:42+10
40,Dumbell flat bench press,Chest,strength,2025-07-07 22:58:42+10
41,Dumbell incline bench press,Chest,strength,2025-07-07 22:58:42+10
43,Push ups,Chest,strength,2025-07-07 22:58:42+10
44,Tricep extension rope,Triceps,strength,2025-07-07 22:58:42+10
46,Overhead tricep extension rope,Triceps,strength,2025-07-07 22:58:42+10
47,Dumbell shoulder press,Anterior deltoid,strength,2025-07-07 22:58:42+10
49,Dumbell lateral raise,Lateral deltoid,strength,2025-07-07 22:58:42+10
50,Rear delt dumbell fly,Posterior deltoid,strength,2025-07-07 22:58:42+10
52,Ez bar curl,Bicep,strength,2025-07-07 22:58:42+10
53,Incline dumbell curl,Chest,strength,2025-07-07 22:58:42+10
54,Machine preacher,Bicep,strength,2025-07-07 22:58:42+10
59,Leg extension,Quad,strength,2025-07-07 22:58:42+10
60,Hack squat calf raise,Calf,strength,2025-07-07 22:58:42+10
61,Smith machine calf raise,Calf,strength,2025-07-07 22:58:42+10
64,Pull ups,Back,strength,2025-07-07 22:58:42+10
70,Stiff legged deadlift,Hamstring,strength,2025-07-07 22:58:42+10
71,Standing dumbbell bicep curl,Bicep,strength,2025-07-09 19:40:38.850518+10
