id,workout_id,exercise_id,weight,reps,set_number,created_at,user_id
1655,343,1,90.0,7,1,"2025-07-07 22:58:42",1
1656,343,1,95.0,6,1,"2025-07-07 22:58:42",1
1657,343,1,95.0,5,1,"2025-07-07 22:58:42",1
1658,343,1,95.0,5,1,"2025-07-07 22:58:42",1
1659,344,1,100.0,5,1,"2025-07-07 22:58:42",1
1660,344,1,100.0,5,1,"2025-07-07 22:58:42",1
1661,344,1,100.0,5,1,"2025-07-07 22:58:42",1
1662,344,1,100.0,5,1,"2025-07-07 22:58:42",1
1663,454,1,105.0,5,1,"2025-07-07 22:58:42",1
1664,454,1,105.0,5,1,"2025-07-07 22:58:42",1
1665,454,1,107.5,5,1,"2025-07-07 22:58:42",1
1666,454,1,107.5,5,1,"2025-07-07 22:58:42",1
1667,372,1,110.0,5,1,"2025-07-07 22:58:42",1
1668,372,1,110.0,5,1,"2025-07-07 22:58:42",1
1669,372,1,112.5,5,1,"2025-07-07 22:58:42",1
1670,372,1,112.5,5,1,"2025-07-07 22:58:42",1
1671,580,1,100.0,5,1,"2025-07-07 22:58:42",1
1672,580,1,110.0,5,1,"2025-07-07 22:58:42",1
1673,580,1,110.0,5,1,"2025-07-07 22:58:42",1
1674,580,1,115.0,5,1,"2025-07-07 22:58:42",1
1675,345,1,110.0,5,1,"2025-07-07 22:58:42",1
1676,345,1,110.0,5,1,"2025-07-07 22:58:42",1
1677,345,1,115.0,5,1,"2025-07-07 22:58:42",1
1678,345,1,115.0,5,1,"2025-07-07 22:58:42",1
1679,346,1,110.0,5,1,"2025-07-07 22:58:42",1
1680,346,1,120.0,3,1,"2025-07-07 22:58:42",1
1681,346,1,120.0,4,1,"2025-07-07 22:58:42",1
1682,346,1,120.0,5,1,"2025-07-07 22:58:42",1
1683,347,1,100.0,5,1,"2025-07-07 22:58:42",1
1684,347,1,120.0,5,1,"2025-07-07 22:58:42",1
1685,347,1,120.0,5,1,"2025-07-07 22:58:42",1
1686,348,1,2.0,5,1,"2025-07-07 22:58:42",1
1687,348,1,110.0,5,1,"2025-07-07 22:58:42",1
1688,349,1,100.0,5,1,"2025-07-07 22:58:42",1
1689,349,1,120.0,5,1,"2025-07-07 22:58:42",1
1690,349,1,130.0,3,1,"2025-07-07 22:58:42",1
1691,349,1,122.5,3,1,"2025-07-07 22:58:42",1
1692,350,1,110.0,5,1,"2025-07-07 22:58:42",1
1693,350,1,125.0,5,1,"2025-07-07 22:58:42",1
1694,350,1,125.0,5,1,"2025-07-07 22:58:42",1
1695,350,1,125.0,5,1,"2025-07-07 22:58:42",1
1696,351,1,115.0,3,1,"2025-07-07 22:58:42",1
1697,351,1,135.0,3,1,"2025-07-07 22:58:42",1
1698,352,1,120.0,5,1,"2025-07-07 22:58:42",1
1699,352,1,130.0,5,1,"2025-07-07 22:58:42",1
1700,352,1,130.0,5,1,"2025-07-07 22:58:42",1
1701,352,1,130.0,1,1,"2025-07-07 22:58:42",1
1702,353,1,130.0,3,1,"2025-07-07 22:58:42",1
1703,353,1,135.0,4,1,"2025-07-07 22:58:42",1
1704,354,1,120.0,1,1,"2025-07-07 22:58:42",1
1705,354,1,140.0,4,1,"2025-07-07 22:58:42",1
1706,354,1,110.0,5,1,"2025-07-07 22:58:42",1
1707,355,1,130.0,5,1,"2025-07-07 22:58:42",1
1708,355,1,135.0,6,1,"2025-07-07 22:58:42",1
1709,355,1,110.0,5,1,"2025-07-07 22:58:42",1
1710,355,1,110.0,7,1,"2025-07-07 22:58:42",1
1711,356,1,100.0,5,1,"2025-07-07 22:58:42",1
1712,356,1,140.0,5,1,"2025-07-07 22:58:42",1
1713,356,1,120.0,5,1,"2025-07-07 22:58:42",1
1714,356,1,110.0,4,1,"2025-07-07 22:58:42",1
1715,357,1,120.0,3,1,"2025-07-07 22:58:42",1
1716,357,1,140.0,1,1,"2025-07-07 22:58:42",1
1717,357,1,100.0,5,1,"2025-07-07 22:58:42",1
1718,358,1,120.0,1,1,"2025-07-07 22:58:42",1
1719,358,1,140.0,3,1,"2025-07-07 22:58:42",1
1720,358,1,145.0,1,1,"2025-07-07 22:58:42",1
1721,358,1,100.0,0,1,"2025-07-07 22:58:42",1
1722,359,1,120.0,2,1,"2025-07-07 22:58:42",1
1723,359,1,130.0,5,1,"2025-07-07 22:58:42",1
1724,359,1,130.0,5,1,"2025-07-07 22:58:42",1
1725,360,1,120.0,3,1,"2025-07-07 22:58:42",1
1726,360,1,145.0,2,1,"2025-07-07 22:58:42",1
1727,360,1,145.0,2,1,"2025-07-07 22:58:42",1
1728,360,1,120.0,4,1,"2025-07-07 22:58:42",1
1729,361,1,120.0,1,1,"2025-07-07 22:58:42",1
1730,361,1,140.0,1,1,"2025-07-07 22:58:42",1
1731,361,1,150.0,1,1,"2025-07-07 22:58:42",1
1732,362,1,120.0,1,1,"2025-07-07 22:58:42",1
1733,362,1,142.0,5,1,"2025-07-07 22:58:42",1
1734,362,1,100.0,5,1,"2025-07-07 22:58:42",1
1735,363,1,120.0,2,1,"2025-07-07 22:58:42",1
1736,363,1,152.0,1,1,"2025-07-07 22:58:42",1
1737,364,1,120.0,5,1,"2025-07-07 22:58:42",1
1738,364,1,130.0,1,1,"2025-07-07 22:58:42",1
1739,364,1,130.0,4,1,"2025-07-07 22:58:42",1
1740,364,1,140.0,2,1,"2025-07-07 22:58:42",1
1741,365,1,120.0,2,1,"2025-07-07 22:58:42",1
1742,365,1,140.0,3,1,"2025-07-07 22:58:42",1
1743,365,1,120.0,3,1,"2025-07-07 22:58:42",1
1744,366,1,120.0,1,1,"2025-07-07 22:58:42",1
1745,367,1,130.0,2,1,"2025-07-07 22:58:42",1
1746,367,1,145.0,2,1,"2025-07-07 22:58:42",1
1747,367,1,130.0,2,1,"2025-07-07 22:58:42",1
1748,367,1,130.0,5,1,"2025-07-07 22:58:42",1
1749,368,1,130.0,6,1,"2025-07-07 22:58:42",1
1750,368,1,132.0,5,1,"2025-07-07 22:58:42",1
1751,369,1,120.0,3,1,"2025-07-07 22:58:42",1
1752,369,1,137.5,3,1,"2025-07-07 22:58:42",1
1753,370,1,130.0,1,1,"2025-07-07 22:58:42",1
1754,370,1,142.0,1,1,"2025-07-07 22:58:42",1
1755,370,1,152.0,2,1,"2025-07-07 22:58:42",1
1756,371,1,132.0,6,1,"2025-07-07 22:58:42",1
1757,582,1,142.0,4,1,"2025-07-07 22:58:42",1
1758,582,1,100.0,8,1,"2025-07-07 22:58:42",1
1759,373,1,140.0,3,1,"2025-07-07 22:58:42",1
1760,373,1,140.0,1,1,"2025-07-07 22:58:42",1
1761,374,1,100.0,5,1,"2025-07-07 22:58:42",1
1762,374,1,120.0,2,1,"2025-07-07 22:58:42",1
1763,374,1,130.0,5,1,"2025-07-07 22:58:42",1
1764,374,1,130.0,5,1,"2025-07-07 22:58:42",1
1765,375,1,140.0,5,1,"2025-07-07 22:58:42",1
1766,375,1,135.0,2,1,"2025-07-07 22:58:42",1
1767,375,1,120.0,2,1,"2025-07-07 22:58:42",1
1768,376,1,120.0,3,1,"2025-07-07 22:58:42",1
1769,376,1,130.0,3,1,"2025-07-07 22:58:42",1
1770,376,1,130.0,3,1,"2025-07-07 22:58:42",1
1771,377,1,120.0,3,1,"2025-07-07 22:58:42",1
1772,377,1,130.0,5,1,"2025-07-07 22:58:42",1
1773,377,1,130.0,5,1,"2025-07-07 22:58:42",1
1774,378,1,120.0,3,1,"2025-07-07 22:58:42",1
1775,378,1,130.0,3,1,"2025-07-07 22:58:42",1
1776,378,1,142.0,2,1,"2025-07-07 22:58:42",1
1777,378,1,3.0,120,1,"2025-07-07 22:58:42",1
1778,379,1,152.0,1,1,"2025-07-07 22:58:42",1
1779,380,1,135.0,6,1,"2025-07-07 22:58:42",1
1780,380,1,110.0,5,1,"2025-07-07 22:58:42",1
1781,380,1,110.0,5,1,"2025-07-07 22:58:42",1
1782,380,1,110.0,5,1,"2025-07-07 22:58:42",1
1783,381,1,110.0,8,1,"2025-07-07 22:58:42",1
1784,381,1,120.0,5,1,"2025-07-07 22:58:42",1
1785,381,1,110.0,8,1,"2025-07-07 22:58:42",1
1786,382,1,120.0,4,1,"2025-07-07 22:58:42",1
1787,382,1,125.0,3,1,"2025-07-07 22:58:42",1
1788,383,1,120.0,5,1,"2025-07-07 22:58:42",1
1789,384,1,120.0,3,1,"2025-07-07 22:58:42",1
1790,385,1,140.0,3,1,"2025-07-07 22:58:42",1
1791,386,1,130.0,5,1,"2025-07-07 22:58:42",1
1792,387,1,137.0,4,1,"2025-07-07 22:58:42",1
1793,388,1,140.0,4,1,"2025-07-07 22:58:42",1
1794,389,1,145.0,1,1,"2025-07-07 22:58:42",1
1795,389,1,130.0,3,1,"2025-07-07 22:58:42",1
1796,390,1,120.0,5,1,"2025-07-07 22:58:42",1
1797,391,1,135.0,1,1,"2025-07-07 22:58:42",1
1798,392,1,130.0,5,1,"2025-07-07 22:58:42",1
1799,393,1,140.0,3,1,"2025-07-07 22:58:42",1
1800,393,1,120.0,5,1,"2025-07-07 22:58:42",1
1801,393,1,120.0,4,1,"2025-07-07 22:58:42",1
1802,394,1,140.0,1,1,"2025-07-07 22:58:42",1
1803,394,1,150.0,1,1,"2025-07-07 22:58:42",1
1804,394,1,120.0,4,1,"2025-07-07 22:58:42",1
1805,395,1,132.0,5,1,"2025-07-07 22:58:42",1
1806,396,1,120.0,3,1,"2025-07-07 22:58:42",1
1807,396,1,140.0,4,1,"2025-07-07 22:58:42",1
1808,397,1,140.0,1,1,"2025-07-07 22:58:42",1
1809,397,1,150.0,2,1,"2025-07-07 22:58:42",1
1810,397,1,120.0,3,1,"2025-07-07 22:58:42",1
1811,397,1,120.0,4,1,"2025-07-07 22:58:42",1
1812,398,1,120.0,3,1,"2025-07-07 22:58:42",1
1813,398,1,140.0,6,1,"2025-07-07 22:58:42",1
1814,398,1,100.0,5,1,"2025-07-07 22:58:42",1
1815,399,1,120.0,3,1,"2025-07-07 22:58:42",1
1816,399,1,150.0,3,1,"2025-07-07 22:58:42",1
1817,399,1,120.0,5,1,"2025-07-07 22:58:42",1
1818,400,1,142.0,5,1,"2025-07-07 22:58:42",1
1819,401,1,150.0,2,1,"2025-07-07 22:58:42",1
1820,402,1,120.0,5,1,"2025-07-07 22:58:42",1
1821,403,1,142.0,5,1,"2025-07-07 22:58:42",1
1822,403,1,120.0,3,1,"2025-07-07 22:58:42",1
1823,404,1,120.0,3,1,"2025-07-07 22:58:42",1
1824,404,1,140.0,1,1,"2025-07-07 22:58:42",1
1825,404,1,150.0,2,1,"2025-07-07 22:58:42",1
1826,405,1,120.0,3,1,"2025-07-07 22:58:42",1
1827,405,1,130.0,3,1,"2025-07-07 22:58:42",1
1828,405,1,130.0,5,1,"2025-07-07 22:58:42",1
1829,406,1,100.0,5,1,"2025-07-07 22:58:42",1
1830,406,1,120.0,5,1,"2025-07-07 22:58:42",1
1831,406,1,130.0,5,1,"2025-07-07 22:58:42",1
1832,407,1,132.5,5,1,"2025-07-07 22:58:42",1
1833,408,1,120.0,3,1,"2025-07-07 22:58:42",1
1834,408,1,140.0,3,1,"2025-07-07 22:58:42",1
1835,408,1,120.0,5,1,"2025-07-07 22:58:42",1
1836,409,1,120.0,1,1,"2025-07-07 22:58:42",1
1837,409,1,100.0,10,1,"2025-07-07 22:58:42",1
1838,410,1,120.0,3,1,"2025-07-07 22:58:42",1
1839,410,1,140.0,2,1,"2025-07-07 22:58:42",1
1840,410,1,150.0,2,1,"2025-07-07 22:58:42",1
1841,410,1,125.0,5,1,"2025-07-07 22:58:42",1
1842,411,1,135.0,5,1,"2025-07-07 22:58:42",1
1843,411,1,120.0,4,1,"2025-07-07 22:58:42",1
1844,411,1,120.0,2,1,"2025-07-07 22:58:42",1
1845,412,1,145.0,3,1,"2025-07-07 22:58:42",1
1846,413,1,150.0,2,1,"2025-07-07 22:58:42",1
1847,413,1,130.0,3,1,"2025-07-07 22:58:42",1
1848,414,1,145.0,4,1,"2025-07-07 22:58:42",1
1849,415,1,130.0,2,1,"2025-07-07 22:58:42",1
1850,415,1,140.0,5,1,"2025-07-07 22:58:42",1
1851,416,1,120.0,2,1,"2025-07-07 22:58:42",1
1852,416,1,140.0,1,1,"2025-07-07 22:58:42",1
1853,416,1,150.0,2,1,"2025-07-07 22:58:42",1
1854,416,1,120.0,4,1,"2025-07-07 22:58:42",1
1855,417,1,130.0,5,1,"2025-07-07 22:58:42",1
1856,417,1,120.0,5,1,"2025-07-07 22:58:42",1
1857,417,1,120.0,5,1,"2025-07-07 22:58:42",1
1858,418,1,130.0,7,1,"2025-07-07 22:58:42",1
1859,418,1,130.0,5,1,"2025-07-07 22:58:42",1
1860,418,1,130.0,3,1,"2025-07-07 22:58:42",1
1861,419,1,140.0,3,1,"2025-07-07 22:58:42",1
1862,419,1,100.0,5,1,"2025-07-07 22:58:42",1
1863,419,1,100.0,5,1,"2025-07-07 22:58:42",1
1864,420,1,120.0,3,1,"2025-07-07 22:58:42",1
1865,420,1,130.0,5,1,"2025-07-07 22:58:42",1
1866,421,1,120.0,3,1,"2025-07-07 22:58:42",1
1867,421,1,130.0,3,1,"2025-07-07 22:58:42",1
1868,421,1,140.0,5,1,"2025-07-07 22:58:42",1
1869,422,1,120.0,3,1,"2025-07-07 22:58:42",1
1870,422,1,100.0,3,1,"2025-07-07 22:58:42",1
1871,422,1,100.0,10,1,"2025-07-07 22:58:42",1
1872,423,1,130.0,5,1,"2025-07-07 22:58:42",1
1873,423,1,100.0,8,1,"2025-07-07 22:58:42",1
1874,424,1,135.0,5,1,"2025-07-07 22:58:42",1
1875,424,1,135.0,3,1,"2025-07-07 22:58:42",1
1876,424,1,120.0,10,1,"2025-07-07 22:58:42",1
1877,424,1,120.0,5,1,"2025-07-07 22:58:42",1
1878,425,1,120.0,5,1,"2025-07-07 22:58:42",1
1879,425,1,120.0,8,1,"2025-07-07 22:58:42",1
1880,426,1,130.0,5,1,"2025-07-07 22:58:42",1
1881,426,1,120.0,5,1,"2025-07-07 22:58:42",1
1882,427,1,100.0,5,1,"2025-07-07 22:58:42",1
1883,427,1,120.0,5,1,"2025-07-07 22:58:42",1
1884,427,1,130.0,5,1,"2025-07-07 22:58:42",1
1885,428,1,100.0,5,1,"2025-07-07 22:58:42",1
1886,428,1,130.0,3,1,"2025-07-07 22:58:42",1
1887,428,1,140.0,3,1,"2025-07-07 22:58:42",1
1888,428,1,110.0,8,1,"2025-07-07 22:58:42",1
1889,429,1,100.0,10,1,"2025-07-07 22:58:42",1
1890,429,1,120.0,5,1,"2025-07-07 22:58:42",1
1891,430,1,110.0,5,1,"2025-07-07 22:58:42",1
1892,430,1,130.0,2,1,"2025-07-07 22:58:42",1
1893,431,1,130.0,4,1,"2025-07-07 22:58:42",1
1894,432,1,130.0,5,1,"2025-07-07 22:58:42",1
1895,433,1,130.0,4,1,"2025-07-07 22:58:42",1
1896,433,1,130.0,4,1,"2025-07-07 22:58:42",1
1897,434,1,120.0,5,1,"2025-07-07 22:58:42",1
1898,434,1,130.0,6,1,"2025-07-07 22:58:42",1
1899,435,1,120.0,3,1,"2025-07-07 22:58:42",1
1900,435,1,130.0,1,1,"2025-07-07 22:58:42",1
1901,435,1,140.0,4,1,"2025-07-07 22:58:42",1
1902,435,1,120.0,4,1,"2025-07-07 22:58:42",1
1903,436,1,120.0,5,1,"2025-07-07 22:58:42",1
1904,436,1,130.0,5,1,"2025-07-07 22:58:42",1
1905,437,1,120.0,3,1,"2025-07-07 22:58:42",1
1906,437,1,137.0,5,1,"2025-07-07 22:58:42",1
1907,438,1,120.0,3,1,"2025-07-07 22:58:42",1
1908,438,1,145.0,3,1,"2025-07-07 22:58:42",1
1909,439,1,100.0,3,1,"2025-07-07 22:58:42",1
1910,439,1,120.0,1,1,"2025-07-07 22:58:42",1
1911,439,1,135.0,1,1,"2025-07-07 22:58:42",1
1912,439,1,150.0,2,1,"2025-07-07 22:58:42",1
1913,440,1,130.0,5,1,"2025-07-07 22:58:42",1
1914,440,1,122.0,5,1,"2025-07-07 22:58:42",1
1915,441,1,135.0,5,1,"2025-07-07 22:58:42",1
1916,441,1,130.0,4,1,"2025-07-07 22:58:42",1
1917,442,1,130.0,4,1,"2025-07-07 22:58:42",1
1918,443,1,120.0,5,1,"2025-07-07 22:58:42",1
1919,443,1,130.0,3,1,"2025-07-07 22:58:42",1
1920,443,1,135.0,3,1,"2025-07-07 22:58:42",1
1921,444,1,120.0,5,1,"2025-07-07 22:58:42",1
1922,445,1,130.0,3,1,"2025-07-07 22:58:42",1
1923,446,1,100.0,5,1,"2025-07-07 22:58:42",1
1924,446,1,120.0,5,1,"2025-07-07 22:58:42",1
1925,446,1,130.0,5,1,"2025-07-07 22:58:42",1
1926,446,1,130.0,3,1,"2025-07-07 22:58:42",1
1927,447,1,120.0,3,1,"2025-07-07 22:58:42",1
1928,447,1,130.0,3,1,"2025-07-07 22:58:42",1
1929,447,1,135.0,3,1,"2025-07-07 22:58:42",1
1930,447,1,120.0,5,1,"2025-07-07 22:58:42",1
1931,448,1,100.0,5,1,"2025-07-07 22:58:42",1
1932,448,1,120.0,5,1,"2025-07-07 22:58:42",1
1933,448,1,130.0,4,1,"2025-07-07 22:58:42",1
1934,448,1,130.0,2,1,"2025-07-07 22:58:42",1
1935,449,1,130.0,1,1,"2025-07-07 22:58:42",1
1936,449,1,140.0,1,1,"2025-07-07 22:58:42",1
1937,449,1,145.0,1,1,"2025-07-07 22:58:42",1
1938,449,1,120.0,4,1,"2025-07-07 22:58:42",1
1939,450,1,140.0,3,1,"2025-07-07 22:58:42",1
1940,450,1,80.0,3,1,"2025-07-07 22:58:42",1
1941,450,1,80.0,3,1,"2025-07-07 22:58:42",1
1942,451,1,152.0,1,1,"2025-07-07 22:58:42",1
1943,451,1,130.0,3,1,"2025-07-07 22:58:42",1
1944,451,1,120.0,5,1,"2025-07-07 22:58:42",1
1945,452,1,129.0,2,1,"2025-07-07 22:58:42",1
1946,452,1,130.0,5,1,"2025-07-07 22:58:42",1
1947,452,1,120.0,5,1,"2025-07-07 22:58:42",1
1948,453,1,130.0,4,1,"2025-07-07 22:58:42",1
1949,453,1,130.0,5,1,"2025-07-07 22:58:42",1
1950,581,1,120.0,3,1,"2025-07-07 22:58:42",1
1951,581,1,130.0,3,1,"2025-07-07 22:58:42",1
1952,581,1,140.0,3,1,"2025-07-07 22:58:42",1
1953,455,1,100.0,3,1,"2025-07-07 22:58:42",1
1954,455,1,130.0,3,1,"2025-07-07 22:58:42",1
1955,455,1,140.0,3,1,"2025-07-07 22:58:42",1
1956,456,1,110.0,3,1,"2025-07-07 22:58:42",1
1957,456,1,130.0,3,1,"2025-07-07 22:58:42",1
1958,456,1,140.0,4,1,"2025-07-07 22:58:42",1
1959,456,1,130.0,2,1,"2025-07-07 22:58:42",1
1960,457,1,110.0,3,1,"2025-07-07 22:58:42",1
1961,457,1,142.0,3,1,"2025-07-07 22:58:42",1
1962,458,1,120.0,1,1,"2025-07-07 22:58:42",1
1963,458,1,140.0,1,1,"2025-07-07 22:58:42",1
1964,458,1,150.0,1,1,"2025-07-07 22:58:42",1
1965,459,1,120.0,3,1,"2025-07-07 22:58:42",1
1966,459,1,130.0,5,1,"2025-07-07 22:58:42",1
1967,460,1,120.0,5,1,"2025-07-07 22:58:42",1
1968,461,1,120.0,3,1,"2025-07-07 22:58:42",1
1969,461,1,140.0,3,1,"2025-07-07 22:58:42",1
1970,461,1,140.0,2,1,"2025-07-07 22:58:42",1
1971,462,1,137.0,3,1,"2025-07-07 22:58:42",1
1972,462,1,140.0,4,1,"2025-07-07 22:58:42",1
1973,463,1,120.0,3,1,"2025-07-07 22:58:42",1
1974,463,1,150.0,1,1,"2025-07-07 22:58:42",1
1975,463,1,120.0,4,1,"2025-07-07 22:58:42",1
1976,464,1,130.0,1,1,"2025-07-07 22:58:42",1
1977,464,1,142.0,5,1,"2025-07-07 22:58:42",1
1978,464,1,120.0,0,1,"2025-07-07 22:58:42",1
1979,465,1,120.0,3,1,"2025-07-07 22:58:42",1
1980,465,1,130.0,5,1,"2025-07-07 22:58:42",1
1981,466,1,130.0,3,1,"2025-07-07 22:58:42",1
1982,466,1,135.0,5,1,"2025-07-07 22:58:42",1
1983,467,1,135.0,1,1,"2025-07-07 22:58:42",1
1984,467,1,142.0,4,1,"2025-07-07 22:58:42",1
1985,468,1,145.0,1,1,"2025-07-07 22:58:42",1
1986,468,1,155.0,1,1,"2025-07-07 22:58:42",1
1987,468,1,130.0,3,1,"2025-07-07 22:58:42",1
1988,468,1,130.0,4,1,"2025-07-07 22:58:42",1
1989,469,1,135.0,4,1,"2025-07-07 22:58:42",1
1990,469,1,135.0,5,1,"2025-07-07 22:58:42",1
1991,470,1,145.0,3,1,"2025-07-07 22:58:42",1
1992,470,1,120.0,3,1,"2025-07-07 22:58:42",1
1993,470,1,120.0,5,1,"2025-07-07 22:58:42",1
1994,471,1,140.0,1,1,"2025-07-07 22:58:42",1
1995,471,1,155.0,1,1,"2025-07-07 22:58:42",1
1996,471,1,137.0,4,1,"2025-07-07 22:58:42",1
1997,472,1,135.0,5,1,"2025-07-07 22:58:42",1
1998,472,1,130.0,4,1,"2025-07-07 22:58:42",1
1999,472,1,120.0,4,1,"2025-07-07 22:58:42",1
2000,472,1,120.0,3,1,"2025-07-07 22:58:42",1
2001,473,1,135.0,1,1,"2025-07-07 22:58:42",1
2002,473,1,145.0,2,1,"2025-07-07 22:58:42",1
2003,473,1,100.0,5,1,"2025-07-07 22:58:42",1
2004,474,1,120.0,1,1,"2025-07-07 22:58:42",1
2005,474,1,157.0,1,1,"2025-07-07 22:58:42",1
2006,474,1,120.0,9,1,"2025-07-07 22:58:42",1
2007,475,1,140.0,5,1,"2025-07-07 22:58:42",1
2008,476,1,147.0,3,1,"2025-07-07 22:58:42",1
2009,477,1,120.0,1,1,"2025-07-07 22:58:42",1
2010,477,1,150.0,2,1,"2025-07-07 22:58:42",1
2011,477,1,120.0,3,1,"2025-07-07 22:58:42",1
2012,478,1,130.0,5,1,"2025-07-07 22:58:42",1
2013,478,1,120.0,5,1,"2025-07-07 22:58:42",1
